1996,2,51,IND,Dedric Mathis\MathDe20,,DB,23,1997,0,5,5,29
1996,2,52,CHI,Bobby Engram\EngrBo00,,WR,23,2009,6,52,16,176
1996,2,53,BUF,Gabe Northern\NortGa20,,LB,22,2000,2,21,20,73
1996,2,54,PHI,Jason Dunn\DunnJa00,,TE,22,2007,2,7,5,160
1996,2,55,BAL,DeRon Jenkins\JenkDe20,,DB,22,2001,1,19,14,93
1996,2,56,GNB,Derrick Mayes\MayeDe00,,WR,22,2000,1,16,7,58
1996,2,57,OAK,Lance Johnstone\JohnLa23,,DE,23,2006,4,42,31,166
1996,2,58,KAN,Reggie Tongue\TongRe20,,DB,23,2005,7,48,21,145
1996,2,59,STL,Ernie Conwell\ConwEr00,,TE,24,2006,7,17,12,125
1996,2,60,JAX,Michael Cheever\CheeMi20,,C,23,1997,0,5,5,17
1996,2,61,PHI,Brian Dawkins\DawkBr00,,DB,22,2011,14,101,90,224
1996,3,62,NYJ,Ray Mickens\MickRa20,,DB,23,2006,2,21,20,146
1996,3,63,JAX,Aaron Beasley\BeasAa20,,DB,23,2004,7,45,33,121
1996,3,64,ARI,Johnny McWilliams\McWiJo00,,TE,23,2000,1,6,4,74
1996,3,65,DEN,Detron Smith\SmitDe00,,RB,22,2003,0,1,1,113
1996,3,66,NYG,Roman Oben\ObenRo20,,T,23,2007,9,51,18,143
1996,3,67,DAL,Clay Shiver\ShivCl20,,C,23,1998,2,13,13,44
1996,3,68,KAN,John Browning\BrowJo24,,DT,23,2005,4,40,40,121
1996,3,69,CIN,Ken Blackman\BlacKe20,,G,23,1998,3,17,17,35
1996,3,70,NOR,Brady Smith\SmitBr21,,DE,23,2005,6,41,13,143
1996,3,71,TAM,Donnie Abraham\AbraDo00,,DB,22,2004,6,55,40,132
1996,3,72,PIT,Steve Conley\ConlSt20,,LB,24,1998,0,1,1,21
1996,3,73,CAR,Winslow Oliver\OlivWi00,,RB,23,2000,0,6,4,64
1996,3,74,HOU,Terry Killens\KillTe20,,LB,22,2002,0,6,4,98
1996,3,75,MIN,Moe Williams\WillMo00,,RB,22,2005,0,28,25,132
1996,3,76,DET,Ryan Stewart\StewRy20,,DB,23,2000,0,3,3,41
1996,3,77,SEA,Robert Barr,,T,,,0,,,
1996,3,78,DEN,Mark Campbell\CampMa20,,DT,24,1997,0,0,,5
1996,3,79,MIA,Dorian Brew\BrewDo20,,DB,22,1997,0,0,,16
1996,3,80,MIA,Karim Abdul-Jabbar\AbduKa00,,RB,22,2000,3,24,21,61
1996,3,81,SDG,Brian Roche\RochBr00,,TE,23,1998,0,1,1,22
1996,3,82,IND,Scott Slutzker\SlutSc00,,TE,23,1999,0,1,0,41
1996,3,83,STL,Jerald Moore\MoorJe00,,RB,21,2000,0,5,4,42
1996,3,84,ATL,Shannon Brown,,DT,,,0,,,
1996,3,85,PHI,Bobby Hoying\HoyiBo00,,QB,24,2000,1,3,3,22
1996,3,86,NWE,Tedy Bruschi\BrusTe99,,LB,23,2008,8,71,71,189
1996,3,87,BUF,Matt Stevens\StevMa22,,DB,23,2003,2,22,7,108
1996,3,88,CAR,J.C. Price,,DT,,,0,,,
1996,3,89,SFO,Terrell Owens\OwenTe00,,WR,22,2010,13,119,72,219
1996,3,90,GNB,Mike Flanagan\FlanMi00,,C,22,2007,5,42,33,121
1996,3,91,SEA,Reggie Brown\BrowRe00,,RB,23,2000,0,2,2,61
1996,3,92,PIT,Jon Witman\WitmJo00,,RB,24,2001,3,3,3,85
1996,3,93,GNB,Tyrone Williams\WillTy20,,DB,23,2004,6,43,42,120
1996,3,94,DAL,Stepfret Williams\WillSt00,,WR,23,1998,0,3,2,26
1996,3,95,DAL,Mike Ulufale\UlufMi20,,DT,24,1996,0,0,0,3
1996,4,96,TAM,Jason Odom\OdomJa20,,T,22,1999,2,16,16,46
1996,4,97,MIN,Hunter Goodwin\GoodHu00,,TE,23,2003,2,1,1,119
1996,4,98,KAN,Donnie Edwards\EdwaDo20,,LB,23,2008,11,84,46,197
1996,4,99,SEA,Phillip Daniels\DaniPh20,,DE,23,2010,11,69,17,201
1996,4,100,DEN,Jeff Lewis\LewiJe01,,QB,23,2000,0,2,1,12
1996,4,101,NWE,Heath Irwin\IrwiHe20,,G,23,2002,1,17,9,87
1996,4,102,WAS,Stephen Davis\DaviSt00,,RB,22,2006,7,56,40,143
1996,4,103,NOR,Ricky Whittle\WhitRi00,,RB,24,1996,0,2,2,10
1996,4,104,TAM,Eric Austin\AustEr20,,DB,23,1996,0,0,0,2
1996,4,105,STL,Percell Gaskins\GaskPe20,,LB,24,1997,0,3,2,27
1996,4,106,CAR,Norbert Davidds-Garrido\DaviNo20,,T,23,2000,3,18,17,68
1996,4,107,HOU,Kendrick Burton\BurtKe20,,DE,23,1996,0,1,1,4
1996,4,108,CIN,Jevon Langford\LangJe20,,DE,22,2001,0,9,9,66
1996,4,109,HOU,Jon Runyan\RunyJo20,,T,22,2009,12,79,22,207
1996,4,110,JAX,Reggie Barlow\BarlRe00,,WR,23,2003,0,8,8,82
1996,4,111,CAR,Emmanuel McDaniel\McDaEm20,,DB,24,2003,0,10,4,75
1996,4,112,ARI,Aaron Graham\GrahAa20,,C,23,2002,2,21,19,92
1996,4,113,MIA,Kirk Pointer,,DB,,,0,,,
1996,4,114,SDG,Charlie Jones\JoneCh00,,WR,23,1999,2,13,13,54
1996,4,115,IND,Brian Milne\MilnBr00,,RB,23,2000,2,3,,63
1996,4,116,CHI,Paul Grasmanis\GrasPa20,,DT,22,2005,0,14,4,104
1996,4,117,ATL,Richard Huntley\HuntRi00,,RB,24,2002,1,14,0,63
1996,4,118,MIA,Stanley Pritchett\PritSt00,,FB,22,2004,4,13,7,120
1996,4,119,NWE,Chris Sullivan\SullCh20,,DE,23,2000,1,13,11,78
1996,4,120,BUF,Sean Moran\MoraSe20,,LB,23,2003,0,11,6,120
1996,4,121,PHI,Ray Farmer\FarmRa20,,LB,22,1998,1,9,9,32
1996,4,122,DEN,Darrius Johnson\JohnDa23,,DB,23,2003,0,4,4,63
1996,4,123,GNB,Chris Darkins\DarkCh00,,DB,22,1997,0,1,1,14
1996,4,124,NWE,Kantroy Barber\BarbKa20,,RB,22,1999,0,0,,2
1996,4,125,MIA,LaCurtis Jones\JoneLa20,,LB,24,1996,0,1,,10
1996,4,126,PIT,Earl Holmes\HolmEa20,,LB,23,2005,9,60,42,140
1996,4,127,ATL,Juran Bolden\BoldJu20,,DB,22,2006,2,14,7,109
1996,4,128,SFO,Daryl Price\PricDa20,,DE,23,1997,0,1,1,19
1996,4,129,DET,Brad Ford\FordBr20,,DB,22,1996,0,1,1,14
1996,4,130,NYG,Danny Kanell\KaneDa00,,QB,22,2003,2,13,9,43
1996,4,131,SEA,Eric Unverzagt\UnveEr20,,LB,23,1997,0,0,0,9
1996,4,132,PIT,Jahine Arnold\ArnoJa00,,WR,23,1999,0,1,1,13
1996,5,133,NYJ,Marcus Coleman\ColeMa20,,DB,22,2006,7,42,25,152
1996,5,134,MIA,Jerris McPhail\McPhJe00,,RB,24,1998,0,7,7,26
1996,5,135,KAN,Joe Horn\HornJo00,,WR,24,2007,8,69,5,163
1996,5,136,NOR,Mercury Hayes\HayeMe21,,WR,23,1997,0,1,1,13
1996,5,137,ARI,James Dexter\DextJa20,,T,23,2000,2,16,14,49
1996,5,138,WAS,Leomont Evans\EvanLe20,,DB,22,1999,2,14,14,59
1996,5,139,NWE,John Elmore,,G,,,0,,,
1996,5,140,TAM,Jason Maniecki\ManiJa20,,DT,24,1998,0,1,1,18
1996,5,141,STL,Fred Miller\MillFr21,,T,23,2008,10,65,17,192
1996,5,142,CAR,Marquette Smith,,RB,,,0,,,
1996,5,143,HOU,Rayna Stewart\StewRa21,,DB,23,2000,1,10,4,71
1996,5,144,CIN,Greg Myers\MyerGr20,,DB,24,2000,2,12,11,64
1996,5,145,NOR,Tom Ackerman\AckeTo20,,G,24,2003,1,14,10,105
1996,5,146,JAX,Jimmy Herndon\HernJi20,,T,23,2002,0,5,,54
1996,5,147,PHI,Whit Marshall\MarsWh20,,LB,23,1999,0,0,0,16
1996,5,148,MIN,Sean Boyd\BoydSe20,,DB,23,1996,0,0,,2
1996,5,149,NWE,Christian Peter\PeteCh20,,DT,23,2002,1,20,,81
1996,5,150,MIA,Shane Burton\BurtSh20,,DE,22,2003,2,28,8,125
1996,5,151,IND,Steve Martin\MartSt21,,DT,22,2004,2,27,3,127
1996,5,152,CHI,Chris Villarrial\VillCh20,,G,23,2006,10,50,34,155
1996,5,153,BAL,Jermaine Lewis\LewiJe00,,WR,21,2004,2,22,21,111
1996,5,154,MIA,Zach Thomas\ThomZa01,,LB,23,2008,11,118,115,184
1996,5,155,SDG,Junior Soli,,DT,,,0,,,
1996,5,156,BUF,Raymond Jackson\JackRa22,,DB,23,2001,0,4,3,73
1996,5,157,DAL,Kenneth McDaniel,,T,,,0,,,
1996,5,158,DET,Kerwin Waldroup\WaldKe20,,DE,22,1998,3,16,16,40
1996,5,159,DEN,Patrick Jeffers\JeffPa00,,WR,23,2001,1,16,0,46
1996,5,160,SFO,Iheanyi Uwaezuoke\UwaeIh00,,WR,23,2000,0,5,4,60
1996,5,161,ARI,Harry Stamps,,T,,,0,,,
1996,5,162,ARI,Dell McGee\McGeDe20,,DB,23,1998,0,0,0,3
1996,5,163,PIT,Israel Raybon\RaybIs20,,DE,23,1997,0,1,0,12
1996,5,164,ATL,Gary Bandy,,DE,,,0,,,
1996,5,165,NOR,Terry Guess\GuesTe00,,WR,22,1996,0,1,1,3
1996,5,166,OAK,La'Roi Glover\GlovLa00,,DT,22,2008,10,91,0,193
1996,5,167,DAL,Alan Campos\CampAl21,,LB,23,1996,0,1,1,15
1996,6,168,NYJ,Hugh Hunter,,DE,,,0,,,
1996,6,169,ARI,Mike Foley,,DT,,,0,,,
1996,6,170,JAX,John Fisher,,DB,,,0,,,
1996,6,171,NYG,Doug Colman\ColmDo20,,LB,23,2000,0,3,3,64
1996,6,172,BAL,Dexter Daniels\DaniDe20,,LB,22,1996,0,0,0,4
1996,6,173,NWE,Chris Griffin,,TE,,,0,,,
1996,6,174,WAS,Kelvin Kinney\KinnKe20,,DE,23,1998,1,6,6,18
1996,6,175,STL,Derrick Harris\HarrDe00,,RB,24,2001,2,1,1,44
1996,6,176,KAN,Dietrich Jells\JellDi00,,WR,24,1999,0,1,,41
1996,6,177,HOU,Anthony Dorsett\DorsAn20,,DB,23,2003,2,20,2,118
1996,6,178,CIN,Tom Tumulty\TumuTo20,,LB,23,1998,1,7,7,31
1996,6,179,NOR,Keno Hills\HillKe21,,G,23,1998,0,3,3,22
1996,6,180,TAM,Nilo Silvan\SilvNi20,,WR,22,1996,0,0,0,7
1996,6,181,DEN,Tony Veland\VelaTo20,,DB,23,1998,0,3,1,27
1996,6,182,NYG,Scott Galyon\GalySc20,,LB,22,2002,0,8,4,95
1996,6,183,OAK,Tim Hall\HallTi20,,RB,22,1997,0,1,1,18
1996,6,184,SEA,Reggie Green,,G,,,0,,,
1996,6,185,JAX,Chris Doering\DoerCh00,,WR,23,2004,0,3,,40
1996,6,186,BAL,James Roe\RoexJa00,,WR,23,1998,0,2,2,23
1996,6,187,CHI,Jon Clark\ClarJo20,,T,23,1999,0,0,0,10
1996,6,188,ATL,Craig Sauer\SaueCr20,,LB,23,2000,0,6,6,73
1996,6,189,MIA,Shawn Wooden\WoodSh20,,DB,22,2003,2,18,17,104
1996,6,190,SDG,Jim Mills\MillJi24,,G,23,1997,0,0,0,2
1996,6,191,IND,Keith Conlin,,T,,,0,,,
1996,6,192,SDG,Bryan Stoltenberg\StolBr20,,C,24,2000,1,12,1,50
1996,6,193,CAR,Scott Greene\GreeSc00,,RB,24,1999,1,3,3,34
1996,6,194,PHI,Steve White\WhitSt21,,DE,22,2002,1,16,,94
1996,6,195,NWE,Marrio Grier\GrieMa00,,RB,24,1997,0,2,2,32
1996,6,196,BUF,Leon Neal\NealLe20,,RB,24,1997,0,0,,1
1996,6,197,PHI,Tony Johnson\JohnTo00,,TE,24,1998,0,1,,27
1996,6,198,SFO,Stephen Pitts,,RB,,,0,,,
1996,6,199,PHI,Phillip Riley\RilePh20,,WR,24,1996,0,0,,1
1996,6,200,PIT,Orpheus Roye\RoyeOr20,,DT,23,2008,8,56,18,180
1996,6,201,STL,Hayward Clay\ClayHa00,,TE,23,1998,0,0,0,14
1996,6,202,BUF,Dusty Zeigler\ZeigDu20,,C,23,2002,5,35,22,80
1996,6,203,PIT,Spence Fischer,,QB,,,0,,,
1996,6,204,NOR,Toderick Malone,,WR,,,0,,,
1996,6,205,IND,Mike Cawley,,QB,,,0,,,
1996,6,206,NWE,Devin Wyman\WymaDe20,,DT,23,1997,0,2,2,15
1996,6,207,DAL,Wendell Davis\DaviWe20,,DB,23,1999,0,2,2,34
1996,6,208,GNB,Marco Rivera\RiveMa01,,G,24,2006,9,73,61,155
1996,6,209,SEA,T.J. Cunningham\CunnT.20,,DB,23,1996,0,1,1,9
1996,7,210,NYJ,Chris Hayes\HayeCh20,,DB,24,2002,0,8,8,84
1996,7,211,KAN,Ben Lynch\LyncBe20,,C,23,2002,0,4,,52
1996,7,212,ARI,Jarius Hayes\HayeJa00,,TE,23,1998,0,0,0,20
1996,7,213,DEN,Leslie Ratliffe,,T,,,0,,,
1996,7,214,NYG,Conrad Hamilton\HamiCo20,,DB,21,2001,1,10,10,54
1996,7,215,WAS,Jeremy Asher,,LB,,,0,,,
1996,7,216,NWE,Lovett Purnell\PurnLo00,,TE,24,1999,0,2,2,36
1996,7,217,CAR,Donnell Baker,,WR,,,0,,,
1996,7,218,HOU,Mike Archie\ArchMi00,,RB,23,1998,0,0,0,23
1996,7,219,CIN,Rod Jones\JoneRo23,,T,22,2001,2,18,17,61
1996,7,220,OAK,Sedric Clark\ClarSe20,,LB,23,1996,0,0,,6
1996,7,221,TAM,Reggie Rusk\RuskRe20,,DB,23,2000,0,1,0,23
1996,7,222,STL,Chuck Osborne\OsboCh20,,DT,22,1999,0,2,1,37
1996,7,223,MIN,Jon Merrill,,G,,,0,,,
1996,7,224,OAK,Darius Smith,,C,,,0,,,
1996,7,225,SEA,Johnie Church,,DE,,,0,,,
1996,7,226,DEN,Chris Banks\BankCh20,,G,23,2000,0,2,0,28
1996,7,227,JAX,Clarence Jones,,WR,,,0,,,
1996,7,228,JAX,Gregory Spann,,WR,,,0,,,
1996,7,229,ATL,Ethan Brooks\BrooEt20,,T,24,2005,1,11,0,76
1996,7,230,MIA,Jeff Buckey\BuckJe20,,G,22,1999,1,11,11,45
1996,7,231,SDG,Freddie Bradley\BradFr00,,RB,26,1996,0,1,1,10
1996,7,232,IND,Adrian Robinson,,DB,,,0,,,
1996,7,233,CHI,Marcus Keyes\KeyeMa20,,DT,22,1996,0,0,0,2
1996,7,234,CAR,Kerry Hicks\HickKe20,,DE,23,1997,0,0,,2
1996,7,235,DEN,L.T. Levine,,RB,,,0,,,
1996,7,236,DEN,Brian Gragert,,P,,,0,,,
1996,7,237,BUF,Dan Brandenburg\BranDa20,,LB,23,1999,0,2,2,42
1996,7,238,BAL,Jon Stark,,QB,,,0,,,
1996,7,239,SFO,Sean Manuel\ManuSe20,,TE,22,1996,0,0,0,11
1996,7,240,GNB,Kyle Wachholtz,,QB,,,0,,,
1996,7,241,KAN,Jeff Smith\SmitJe21,,C,23,2001,2,13,2,59
1996,7,242,PIT,Carlos Emmons\EmmoCa20,,LB,23,2006,9,56,19,147
1996,7,243,DAL,Ryan Wood,,RB,,,0,,,
1996,7,244,BUF,Jay Riemersma\RiemJa00,,TE,23,2004,3,19,18,112
1996,7,245,KAN,Darrell Williams,,DB,,,0,,,
1996,7,246,NOR,Henry Lusk\LuskHe00,,TE,24,1998,0,2,2,19
1996,7,247,NWE,J.R. Conrad\ConrJ.20,,G,22,1997,0,1,,12
1996,7,248,OAK,Joey Wylie,,G,,,0,,,
1996,7,249,BUF,Eric Smedley\SmedEr20,,DB,23,1999,0,3,3,42
1996,7,250,WAS,DeAndre Maxwell,,WR,,,0,,,
1996,7,251,MIA,Brice Hunter\HuntBr00,,WR,22,1998,0,1,,13
1996,7,252,GNB,Keith McKenzie\McKeKe20,,DE,22,2003,1,16,6,95
1996,7,253,CHI,Michael Hicks\HickMi20,,RB,23,1997,0,1,1,7
1996,7,254,SFO,Sam Manuel,,LB,,,0,,,
